BINOMIAL,CITATION,CLASS,ORDER,FAMILY,GENUS,TSN,IUCN_ID,COMMON,IUCN_STATUS
Urocyon cinereoargenteus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Urocyon,180609,22780,Grey Fox,LC
Urocyon littoralis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Urocyon,180610,22781,Island Fox,NT
Vulpes bengalensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621858,23049,Bengal Fox,LC
Vulpes cana,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621859,23050,Blanford's Fox,LC
Vulpes corsac,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621861,23051,Corsac Fox,LC
Vulpes pallida,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621863,23052,Pale Fox,LC
Vulpes rueppellii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621864,23053,Rüppel's Fox,LC
Vulpes velox,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,180607,23059,Swift Fox,LC
Vulpes chama,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621860,23060,Cape Fox,LC
Vulpes ferrilata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621862,23061,Tibetan Fox,LC
Vulpes vulpes,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,180604,23062,Red Fox,LC
Vulpes macrotis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,180606,41587,Kit Fox,LC
Vulpes zerda,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Vulpes,621865,41588,Fennec Fox,LC
Cryptoprocta ferox,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Cryptoprocta,621973,5760,Fossa,VU
Eupleres goudotii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Eupleres,621974,8327,Falanouc,NT
Fossa fossana,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Fossa,621975,8668,Malagasy Civet,NT
Galidia elegans,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Galidia,621875,39426,Malagasy Ring-tailed Mongoose,LC
Galidictis fasciata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Galidictis,621876,8833,Broad-striped Mongoose,NT
Galidictis grandidieri,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Galidictis,621877,8834,Giant-striped Mongoose,EN
Mungotictis decemlineata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Mungotictis,621878,13923,Malagasy Narrow-striped Mongoose,VU
Salanoia concolor,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,EUPLERIDAE,Salanoia,621879,19852,Brown-tailed Mongoose,VU
Unknown Felid, ,MAMMALIA,CARNIVORA,FELIDAE, ,180580,20,Unknown Felid,NE
Acinonyx jubatus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Acinonyx,183813,219,Cheetah,VU
Caracal caracal,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Caracal,552775,3847,Caracal,LC
Caracal aurata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Caracal,552775,18306,African Golden Cat,NT
Felis chaus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Felis,183802,8540,Jungle Cat,LC
Felis margarita,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Felis,183801,8541,Sand Cat,NT
Felis nigripes,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Felis,183800,8542,Black-footed Cat,VU
Felis silvestris,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Felis,180589,8543,Wild Cat,LC
Felis catus,,MAMMALIA,CARNIVORA,FELIDAE,Felis,65,65,Domestic Cat,NE
Leopardus pardalis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leopardus,552470,11509,Ocelot,LC
Leopardus tigrinus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leopardus,621868,11510,Oncilla,VU
Leopardus wiedii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leopardus,552469,11511,Margay,NT
Leopardus colocolo,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leopardus,726251,15309,Pampas Cat,NT
Leopardus geoffroyi,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leopardus,726252,15310,Geoffroy's Cat,NT
Leopardus guigna,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leopardus,726253,15311,Guiña,VU
Leopardus jacobita,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leopardus,621871,15452,Andean Cat,EN
Leptailurus serval,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Leptailurus,552766,11638,Serval,LC
Lynx canadensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Lynx,180585,12518,Canada Lynx,LC
Lynx lynx,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Lynx,180584,12519,Eurasian Lynx,LC
Lynx pardinus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Lynx,621869,12520,Iberian Lynx,CR
Lynx rufus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Lynx,180582,12521,Bobcat,LC
Neofelis nebulosa,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Neofelis,183809,14519,Clouded Leopard,VU
Neofelis diardi,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Neofelis,183809,136603,Sunda Clouded Leopard,VU
Otocolobus manul,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Otocolobus,552765,15640,Pallas's Cat,NT
Panthera leo,Wildlife Conservation Society and IUCN,MAMMALIA,CARNIVORA,FELIDAE,Panthera,183803,15951,Lion,VU
Panthera onca,Wildlife Conservation Society,MAMMALIA,CARNIVORA,FELIDAE,Panthera,180593,15953,Jaguar,NT
Panthera pardus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Panthera,183804,15954,Leopard,NT
Panthera tigris,Wildlife Conservation Society,MAMMALIA,CARNIVORA,FELIDAE,Panthera,183805,15955,Tiger,EN
Panthera uncia,International Snow Leopard Trust and the Wildlife Conservation Society,MAMMALIA,CARNIVORA,FELIDAE,Panthera,183811,22732,Snow Leopard,EN
Pardofelis badia,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Pardofelis,621874,4037,Borneo Bay Cat,EN
Pardofelis temminckii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Pardofelis,621874,4038,Asiatic Golden Cat,NT
Pardofelis marmorata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Pardofelis,621872,16218,Marbled Cat,VU
Prionailurus bengalensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,552763,18146,Leopard Cat,LC
Prionailurus planiceps,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,621873,18148,Flat-headed Cat,EN
Prionailurus rubiginosus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,552774,18149,Rusty-spotted Cat,VU
Prionailurus viverrinus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Prionailurus,552770,18150,Fishing Cat,EN
Puma yagouaroundi,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Puma,726257,9948,Jaguarundi,LC
Puma concolor,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,FELIDAE,Puma,552479,18868,Puma,LC
Atilax paludinosus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Atilax,621880,41590,Marsh Mongoose,LC
Bdeogale jacksoni,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Bdeogale,621882,2675,Jackson's Mongoose,NT
Bdeogale crassicauda,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Bdeogale,621881,41591,Bushy-tailed Mongoose,LC
Bdeogale nigripes,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Bdeogale,621883,41592,Black-footed Mogoose,LC
Bdeogale omnivora,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Bdeogale,621881,136686,Sokoke Bushy-tailed Mongoose,VU
Crossarchus alexandri,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Crossarchus,621884,41593,Alexander's Cusimanse,LC
Crossarchus ansorgei,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Crossarchus,621885,41594,Ansorge's Cusimanse,DD
Crossarchus obscurus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Crossarchus,621886,41595,Common Cusimanse,LC
Crossarchus platycephalus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Crossarchus,726264,41596,Cameroon Cusimanse,LC
Cynictis penicillata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Cynictis,621887,41597,Yellow Mongoose,LC
Dologale dybowskii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Dologale,621888,41598,Pousargues' Mongoose,DD
Helogale hirtula,IUCN (International Union for the Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Helogale,621889,41608,Somali Dwarf Mongoose,LC
Helogale parvula,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Helogale,621890,41609,Common Dwarf Mongoose,LC
Herpestes flavescens,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,622008,41599,Kaokoveld Slender Mongoose,LC
Herpestes pulverulentus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,622009,41600,Cape Grey Mongoose,LC
Herpestes ochraceus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,726265,41605,Somali Slender Mongoose,LC
Herpestes sanguineus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,622010,41606,Slender Mongoose,LC
Herpestes brachyurus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621891,41610,Short-tailed Mongoose,LC
Herpestes edwardsii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621892,41611,Indian Grey Mongoose,LC
Herpestes fuscus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,726267,41612,Indian Brown Mongoose,VU
Herpestes ichneumon,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621893,41613,Eyptian Mongoose,LC
Herpestes javanicus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,552467,41614,Small Asian Mongoose,LC
Herpestes naso,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621894,41615,Long-nosed Mongoose,LC
Herpestes semitorquatus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621896,41616,Collared Mongoose,DD
Herpestes smithii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621897,41617,Ruddy Mongoose,LC
Herpestes urva,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621898,41618,Crab-eating Mongoose,LC
Herpestes vitticollis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Herpestes,621899,41619,Stripe-necked Mongoose,LC
Ichneumia albicauda,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Ichneumia,621900,41620,White-tailed Mongoose,LC
Liberiictis kuhni,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Liberiictis,621901,11933,Liberian Mongoose,VU
Mungos gambianus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Mungos,621902,13922,Gambian Mongoose,LC
Mungos mungo,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Mungos,621903,41621,Banded Mongoose,LC
Paracynictis selousi,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Paracynictis,621904,41622,Selous' Mongoose,LC
Rhynchogale melleri,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Rhynchogale,621905,41623,Meller's Mongoose,LC
Suricata suricatta,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HERPESTIDAE,Suricata,621906,41624,Meerkat,LC
Unknown Hyaena, ,MAMMALIA,CARNIVORA,HYAENIDAE, ,35,35,Unknown Hyaena,NE
Crocuta crocuta,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HYAENIDAE,Crocuta,621907,5674,Spotted Hyaena,LC
Hyaena hyaena,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HYAENIDAE,Hyaena,621908,10274,Striped Hyaena,NT
Hyaena brunnea,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HYAENIDAE,Hyaena,726268,10276,Brown Hyaena,NT
Proteles cristata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,HYAENIDAE,Proteles,726269,18372,Aardwolf,LC
Unknown Skunk_Badger, ,MAMMALIA,CARNIVORA,MEPHITIDAE, ,38,38,Unknown Skunk_Badger,NE
Conepatus chinga,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Conepatus,621930,41630,Molina's Hog-nosed Skunk,LC
Conepatus chinga,"NatureServe, 2005",MAMMALIA,CARNIVORA,MEPHITIDAE,Conepatus,621930,41630,Molina's Hog-nosed Skunk,LC
Conepatus humboldtii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Conepatus,621931,41631,Humboldt's Hog-nosed Skunk,LC
Conepatus leuconotus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Conepatus,180567,41632,American Hog-nosed Skunk,LC
Conepatus semistriatus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Conepatus,621932,41633,Striped Hog-nosed Skunk,LC
Mephitis macroura,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Mephitis,180563,41634,Hooded Skunk,LC
Mephitis mephitis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Mephitis,180562,41635,Striped Skunk,LC
Mydaus marchei,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Mydaus,621928,14055,Palawan Stink-badger,LC
Mydaus javanensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Mydaus,621927,41628,Sunda Stink-badger,LC
Spilogale putorius,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Spilogale,180570,41636,Eastern Spotted Skunk,LC
Spilogale pygmaea,IUCN (International Union for the Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Spilogale,621933,41637,Pygmy Spotted Skunk,VU
Spilogale angustifrons,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Spilogale,726285,136636,Southern Spotted Skunk,LC
Spilogale gracilis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MEPHITIDAE,Spilogale,552466,136797,Western Spotted Skunk,LC
Aonyx capensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,621911,1793,African Clawless Otter,LC
Aonyx congicus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,621912,1794,Congo Clawless Otter,LC
Aonyx cinerea,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,726276,44166,Asian Small-clawed Otter,VU
Arctonyx collaris,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Arctonyx,621921,41625,Hog Badger,NT
Eira barbara,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Eira,621934,41644,Tayra,LC
Enhydra lutris,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Enhydra,180547,7750,Sea Otter,EN
Galictis cuja,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Galictis,621935,41639,Lesser Grison,LC
Galictis vittata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Galictis,621936,41640,Greater Grison,LC
Gulo gulo,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Gulo,180551,9561,Wolverine,LC
Ictonyx libyca,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Ictonyx,621937,41645,Libyan Striped Weasel,LC
Ictonyx striatus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Ictonyx,621938,41646,Zorilla,LC
Lontra canadensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,180549,12302,North American Otter,LC
Lontra felina,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,621913,12303,Marine Otter,EN
Lontra longicaudis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,621914,12304,Neotropical Otter,DD
Lontra provocax,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lontra,621915,12305,Southern River Otter,EN
Lutra lutra,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lutra,621916,12419,Eurasian Otter,NT
Lutra maculicollis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lutra,621917,12420,Spotted-necked Otter,LC
Lutra sumatrana,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lutra,621918,12421,Hairy-nosed Otter,EN
Lutrogale perspicillata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lutrogale,621919,12427,Smooth-coated Otter,VU
Lyncodon patagonicus,IUCN (International Union for the Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Lyncodon,621939,41647,Patagonian Weasel,DD
Martes gwatkinsii,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,621942,12847,Nilgiri Marten,VU
Martes martes,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,621943,12848,European Pine Marten,LC
Martes foina,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,621941,29672,Stone Marten,LC
Martes americana,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,180559,41648,American Marten,LC
Martes flavigula,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,621940,41649,Yellow-throated Marten,LC
Martes melampus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,621944,41650,Japanese Marten,LC
Martes pennanti,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,180560,41651,Fisher,LC
Martes zibellina,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Martes,621945,41652,SABLE,LC
Meles meles,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Meles,621922,29673,Eurasian Badger,LC
Meles anakuma,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Meles,726278,136242,Japanese Badger,LC
Meles leucurus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Meles,726279,136385,Asian Badger,LC
Mellivora capensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Mellivora,621929,41629,Honey Badger,LC
Melogale everetti,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,621923,13110,Bornean Ferret Badger,DD
Melogale moschata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,621924,41626,Small-toothed Ferret-badger,LC
Melogale personata,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,621926,41627,Large-toothed Ferret Badger,DD
Melogale orientalis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,621925,41697,Javan Ferret Badger,DD
Mustela nigripes,"NatureServe, 2003",MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,180557,14020,Black-footed Ferret,EN
Mustela nigripes,"NatureServe, 2004",MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,180557,14020,Black-footed Ferret,EN
Mustela lutreola,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,621951,14018,European Mink,CR
Mustela lutreolina,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,621952,14019,Indonesian Mountain Weasel,DD
